User,Headlines,Links,MainContent
Sebastian Carlos,Introducing Shitify — A Reverse Linter. Add errors to your code.,https://medium.com/@sebastiancarlos/introducing-shitify-a-reverse-linter-add-errors-to-your-code-33fd47b1314c?source=topics_v2---------0-84--------------------70f7292f_f599_43be_bcc7_436c151e890d-------17,"Introducing Shitify — A Reverse Linter. Add errors to your code.https://shitify.proShitify.js is a new tool that’s shaking up the world of software development. It’s a reverse linter, which means it adds errors to your code.It’s simple to use. Just install it with npm:npm install -g shitifyshitify myCode.jsIntroducing Shitify — A Reverse Linter. Add errors to your code.https://shitify.proShitify.js is a new tool that’s shaking up the world of software development. It’s a reverse linter, which means it adds errors to your code.It’s simple to use. Just install it with npm:npm install -g shitifyshitify myCode.jsIntroducing Shitify — A Reverse Linter. Add errors to your code."
Logan Kilpatrick,Here’s why startups are building with the Julia Programming Language,https://medium.com/juliazoid/heres-why-startups-are-building-with-the-julia-programming-language-5addadac3bdc?source=topics_v2---------1-84--------------------70f7292f_f599_43be_bcc7_436c151e890d-------17,"Here’s why startups are building with the Julia Programming LanguageJulia is powering the next wave of biomedical, machine learning, and climate startupsImage by AuthorA whole new ecosystem of companies are coming to the limelight and they all have one thing in common: they are building with the Julia programming language. Companies operating at the edge of what is possible are relying on Julia’s computational efficiency, ease of use, and purpose built nature in the scientific computing ecosystem to solve some of the worlds most challenging problems.In this article, we will explore the benefits of Julia and talk about some of the startups using Julia to change the world. Let’s dive in!Which companies are using Julia? 💼Before we talk about why companies are using Julia, it is good to get a sense of the breadth and depth of the different organizations building on the Julia ecosystem.Startups using Julia extensively:Genie CloudQuera ComputingInveniaJulia Computing (now JuliaHub)Beacon BiosignalsRelationalAIPumasAIJulius TechnologiesZapataZiplineFind more: https://juliahub.com/case-studies/You can find talks at previous JuliaCon’s from many of these organizations.Large organizations using Julia (not exhaustive):AWS (Quantum Computing)Microsoft ResearchGoogleApple (Autonomous Systems Group)NASAIf you are looking to join a company using Julia, you might want to check out this article I wrote on getting a job using Julia:How to get a job programming in Julia?Tips to get hired programming with the Julia Languagetowardsdatascience.comCompetitive Advantage 🔪Startups typically operate in competitive spaces. Spaces usually dominated by large players like Google, AWS, or Microsoft (in the case of the cloud). In order for new companies to fight against these incumbent players, they need something radically different that what these larger companies are doing.For many startups, this means using the Julia programming language. Julia’s ease of use, strong community, expanding ecosystem, and speed make the language a natural choice. I have said it before but I will say it again, those individuals and companies betting big on Julia now are the people who will garner a disproportionate amount of the upside. Right now, this is manifesting itself in the talent domain. 2022 was a huge year for hiring and companies like RelationalAI and JuliaComputing have continued to snap up tons of key Julia ecosystem contributors.There is also a strong desire from the community to see these companies succeed as they are often time started by Julia contributors themselves like Beacon Biosignal. These companies can also tap into the community on Discourse and Stack Overflow which are (in my opinion) some of the most responsive and helpful communities in the world.High-Level Language 🏔️Julia is a high-level language, which means it can be used to quickly develop prototypes and solve problems without needing too much code. This makes Julia extremely useful for startups as they can rapidly develop their products or services without having to worry about complex coding requirements. Additionally, since Julia is open source, there are plenty of packages that you can use in order to make developing even faster.One of the original goals of Julia was to create a tight loop for developers between prototypes and production ready applications. With Julia, that loop is significantly reduced since you can usually just write your code once and not have to switch languages for production. It’s worth saying that this is an ideal case, if you do things that don’t scale with (deeply nested loops or poorly designed code), you will still run into issues going into production but at least you can refactor in one language.Compatibility With Other Languages 🔀One of the biggest draws of using Julia is its compatibility with other languages such as Python, R, C++, MATLAB and Java. This allows you to easily integrate these languages into your development process without having to write extra code or invest in additional resources. For example, if you need to use Python for certain tasks but want the speed of C++ for others, you can easily combine them together in your project with Julia.Companies like Julius Technologies are working on bridging the gap between multiple languages with Graph Computing and Julia:If you want to see a Python and Julia integreation in action, check out how simple it is in this article:Working with Flux.jl Models on the Hugging Face Hub 🤗How to use the Julia Deep Learning library to interact with models from Hugging Facetowardsdatascience.comFlexible Platforms ⚒️Julia also offers flexibility when it comes to its platforms; it supports Windows, Mac OS X, and Linux. This means that no matter what type of device your users have access to they will be able to experience your application or website without any issues or delays due to incompatibility between platforms. There are also a growing number of web integrations in the works thanks to the Pluto.jl team which should significantly widen the audience of people who can use Julia.Check out Julia’s download page for a full picture on the supported platforms: https://julialang.org/downloads/You might also be interested to know that there is active work in the Julia ecosystem to support the development of generic executables which could make Julia even more flexible. At JuliaCon 2023, Jeff Bezanson talked about this work and shared it is a focus for the ecosystem.Julia’s Speed and Efficiency 🏎️One of the biggest reasons why startups are turning to Julia is because it offers unparalleled speed and efficiency when compared with other languages. This makes it ideal for businesses that need to process large amounts of data quickly and accurately. To put it simply, Julia can do more in less time than many other programming languages, making it a great choice for businesses that need a quick turnaround on their data-driven projects.In a case study published to the JuliaHub website on how Julia is used by Pfizer, they say:Pfizer used Julia to accelerate several models:Steady state calculations of a cardiac model went from nearly a day to just 40 minutes — an improvement of 26x. With multithreading, the total simulation time was reduced to just 9 minutes — an improvement of 115x.You might also be interested in learning more about Julia’s speed characteristics and how to perform your own benchmarks. If so, check out this article:No, Julia is not 34,000,000,000 times faster than PythonJulia is fast, but not THAT fast, an honest look at performancejuliazoid.comThe Versatility of Julia 💻Another reason why startups are investing in Julia is because it is incredibly versatile. It can be used for everything from statistical analysis and machine learning algorithms to web applications and image processing programs. This wide range of capabilities makes Julia an attractive choice for businesses that need a programming language that can handle any type of project they might have.Most applications of Julia are in the Scientific computing ecosystem, but you can even do workflows like web development as Genie Cloud shows in this video:The Ease-of-Use FactorFinally, startups love Julia because it is easy to use and learn. While some programming languages require extensive training before you can even write your first line of code, Julia makes getting started much easier by offering intuitive syntax and an interactive development environment (IDE) with helpful tools like autocomplete in VS Code and debugger support. This makes it possible for new developers to ramp up quickly without having to invest too much time in learning the language itself.The ease of use factor is very real in Julia, if you want to learn more, head to this article where we go into the details of why Julia is a great language for new programmers:Why you should learn Julia, as a beginner / first-time programmerJulia is the language of the future you should learn today.blog.devgenius.ioBut it is not all sunshine and rainbows, there are some concepts in Julia that are a bit tricky to understand, so I broke them down in another article:Tricky concepts in Julia for beginners (and how to overcome them)Avoid common pitfalls new Julia users makejuliazoid.comWrapping Things Up 🎁In conclusion, the popularity of Julia among startups speaks volumes about its capabilities as a programming language. With its speed, versatility, and ease-of-use, there’s no wonder why so many businesses are choosing this powerful language as their go-to tool for developing software solutions. If you’re looking for a modern language that can help your business stay ahead in today’s competitive landscape, then look no further than the remarkable power of Julia Programming Language!Side note, thank you for reading this article. I am thrilled to share that my co-author and I are working on a new book: “Julia Crash Course” which is open for digital pre-orders today:Julia Crash Course (eBook Pre-order)Julia Crash Course is a hands-on guide to using the Julia programming language, written with beginners in mind. We take…logankilpatrick.gumroad.comP.S. If your company is using Julia for something cool, I would love to hear about it, please get in touch!Here’s why startups are building with the Julia Programming LanguageJulia is powering the next wave of biomedical, machine learning, and climate startupsImage by AuthorA whole new ecosystem of companies are coming to the limelight and they all have one thing in common: they are building with the Julia programming language. Companies operating at the edge of what is possible are relying on Julia’s computational efficiency, ease of use, and purpose built nature in the scientific computing ecosystem to solve some of the worlds most challenging problems.In this article, we will explore the benefits of Julia and talk about some of the startups using Julia to change the world. Let’s dive in!Here’s why startups are building with the Julia Programming LanguageJulia is powering the next wave of biomedical, machine learning, and climate startupsWhich companies are using Julia? 💼Before we talk about why companies are using Julia, it is good to get a sense of the breadth and depth of the different organizations building on the Julia ecosystem.Startups using Julia extensively:Genie CloudQuera ComputingInveniaJulia Computing (now JuliaHub)Beacon BiosignalsRelationalAIPumasAIJulius TechnologiesZapataZiplineFind more: https://juliahub.com/case-studies/You can find talks at previous JuliaCon’s from many of these organizations.Large organizations using Julia (not exhaustive):AWS (Quantum Computing)Microsoft ResearchGoogleApple (Autonomous Systems Group)NASAIf you are looking to join a company using Julia, you might want to check out this article I wrote on getting a job using Julia:How to get a job programming in Julia?Tips to get hired programming with the Julia Languagetowardsdatascience.comHow to get a job programming in Julia?Tips to get hired programming with the Julia Languagetowardsdatascience.comHow to get a job programming in Julia?Tips to get hired programming with the Julia Languagetowardsdatascience.comHow to get a job programming in Julia?Tips to get hired programming with the Julia Languagetowardsdatascience.comTips to get hired programming with the Julia Languagetowardsdatascience.comCompetitive Advantage 🔪Startups typically operate in competitive spaces. Spaces usually dominated by large players like Google, AWS, or Microsoft (in the case of the cloud). In order for new companies to fight against these incumbent players, they need something radically different that what these larger companies are doing.For many startups, this means using the Julia programming language. Julia’s ease of use, strong community, expanding ecosystem, and speed make the language a natural choice. I have said it before but I will say it again, those individuals and companies betting big on Julia now are the people who will garner a disproportionate amount of the upside. Right now, this is manifesting itself in the talent domain. 2022 was a huge year for hiring and companies like RelationalAI and JuliaComputing have continued to snap up tons of key Julia ecosystem contributors.There is also a strong desire from the community to see these companies succeed as they are often time started by Julia contributors themselves like Beacon Biosignal. These companies can also tap into the community on Discourse and Stack Overflow which are (in my opinion) some of the most responsive and helpful communities in the world.High-Level Language 🏔️Julia is a high-level language, which means it can be used to quickly develop prototypes and solve problems without needing too much code. This makes Julia extremely useful for startups as they can rapidly develop their products or services without having to worry about complex coding requirements. Additionally, since Julia is open source, there are plenty of packages that you can use in order to make developing even faster.One of the original goals of Julia was to create a tight loop for developers between prototypes and production ready applications. With Julia, that loop is significantly reduced since you can usually just write your code once and not have to switch languages for production. It’s worth saying that this is an ideal case, if you do things that don’t scale with (deeply nested loops or poorly designed code), you will still run into issues going into production but at least you can refactor in one language.Compatibility With Other Languages 🔀One of the biggest draws of using Julia is its compatibility with other languages such as Python, R, C++, MATLAB and Java. This allows you to easily integrate these languages into your development process without having to write extra code or invest in additional resources. For example, if you need to use Python for certain tasks but want the speed of C++ for others, you can easily combine them together in your project with Julia.Companies like Julius Technologies are working on bridging the gap between multiple languages with Graph Computing and Julia:If you want to see a Python and Julia integreation in action, check out how simple it is in this article:Working with Flux.jl Models on the Hugging Face Hub 🤗How to use the Julia Deep Learning library to interact with models from Hugging Facetowardsdatascience.comWorking with Flux.jl Models on the Hugging Face Hub 🤗How to use the Julia Deep Learning library to interact with models from Hugging Facetowardsdatascience.comWorking with Flux.jl Models on the Hugging Face Hub 🤗How to use the Julia Deep Learning library to interact with models from Hugging Facetowardsdatascience.comWorking with Flux.jl Models on the Hugging Face Hub 🤗How to use the Julia Deep Learning library to interact with models from Hugging Facetowardsdatascience.comHow to use the Julia Deep Learning library to interact with models from Hugging Facetowardsdatascience.comFlexible Platforms ⚒️Julia also offers flexibility when it comes to its platforms; it supports Windows, Mac OS X, and Linux. This means that no matter what type of device your users have access to they will be able to experience your application or website without any issues or delays due to incompatibility between platforms. There are also a growing number of web integrations in the works thanks to the Pluto.jl team which should significantly widen the audience of people who can use Julia.Check out Julia’s download page for a full picture on the supported platforms: https://julialang.org/downloads/You might also be interested to know that there is active work in the Julia ecosystem to support the development of generic executables which could make Julia even more flexible. At JuliaCon 2023, Jeff Bezanson talked about this work and shared it is a focus for the ecosystem.Julia’s Speed and Efficiency 🏎️One of the biggest reasons why startups are turning to Julia is because it offers unparalleled speed and efficiency when compared with other languages. This makes it ideal for businesses that need to process large amounts of data quickly and accurately. To put it simply, Julia can do more in less time than many other programming languages, making it a great choice for businesses that need a quick turnaround on their data-driven projects.In a case study published to the JuliaHub website on how Julia is used by Pfizer, they say:Pfizer used Julia to accelerate several models:Steady state calculations of a cardiac model went from nearly a day to just 40 minutes — an improvement of 26x. With multithreading, the total simulation time was reduced to just 9 minutes — an improvement of 115x.You might also be interested in learning more about Julia’s speed characteristics and how to perform your own benchmarks. If so, check out this article:No, Julia is not 34,000,000,000 times faster than PythonJulia is fast, but not THAT fast, an honest look at performancejuliazoid.comNo, Julia is not 34,000,000,000 times faster than PythonJulia is fast, but not THAT fast, an honest look at performancejuliazoid.comNo, Julia is not 34,000,000,000 times faster than PythonJulia is fast, but not THAT fast, an honest look at performancejuliazoid.comNo, Julia is not 34,000,000,000 times faster than PythonJulia is fast, but not THAT fast, an honest look at performancejuliazoid.comJulia is fast, but not THAT fast, an honest look at performancejuliazoid.comThe Versatility of Julia 💻Another reason why startups are investing in Julia is because it is incredibly versatile. It can be used for everything from statistical analysis and machine learning algorithms to web applications and image processing programs. This wide range of capabilities makes Julia an attractive choice for businesses that need a programming language that can handle any type of project they might have.Most applications of Julia are in the Scientific computing ecosystem, but you can even do workflows like web development as Genie Cloud shows in this video:The Ease-of-Use FactorFinally, startups love Julia because it is easy to use and learn. While some programming languages require extensive training before you can even write your first line of code, Julia makes getting started much easier by offering intuitive syntax and an interactive development environment (IDE) with helpful tools like autocomplete in VS Code and debugger support. This makes it possible for new developers to ramp up quickly without having to invest too much time in learning the language itself.The ease of use factor is very real in Julia, if you want to learn more, head to this article where we go into the details of why Julia is a great language for new programmers:Why you should learn Julia, as a beginner / first-time programmerJulia is the language of the future you should learn today.blog.devgenius.ioBut it is not all sunshine and rainbows, there are some concepts in Julia that are a bit tricky to understand, so I broke them down in another article:Tricky concepts in Julia for beginners (and how to overcome them)Avoid common pitfalls new Julia users makejuliazoid.comWhy you should learn Julia, as a beginner / first-time programmerJulia is the language of the future you should learn today.blog.devgenius.ioWhy you should learn Julia, as a beginner / first-time programmerJulia is the language of the future you should learn today.blog.devgenius.ioWhy you should learn Julia, as a beginner / first-time programmerJulia is the language of the future you should learn today.blog.devgenius.ioJulia is the language of the future you should learn today.blog.devgenius.ioTricky concepts in Julia for beginners (and how to overcome them)Avoid common pitfalls new Julia users makejuliazoid.comTricky concepts in Julia for beginners (and how to overcome them)Avoid common pitfalls new Julia users makejuliazoid.comTricky concepts in Julia for beginners (and how to overcome them)Avoid common pitfalls new Julia users makejuliazoid.comAvoid common pitfalls new Julia users makejuliazoid.comWrapping Things Up 🎁In conclusion, the popularity of Julia among startups speaks volumes about its capabilities as a programming language. With its speed, versatility, and ease-of-use, there’s no wonder why so many businesses are choosing this powerful language as their go-to tool for developing software solutions. If you’re looking for a modern language that can help your business stay ahead in today’s competitive landscape, then look no further than the remarkable power of Julia Programming Language!Side note, thank you for reading this article. I am thrilled to share that my co-author and I are working on a new book: “Julia Crash Course” which is open for digital pre-orders today:Julia Crash Course (eBook Pre-order)Julia Crash Course is a hands-on guide to using the Julia programming language, written with beginners in mind. We take…logankilpatrick.gumroad.comP.S. If your company is using Julia for something cool, I would love to hear about it, please get in touch!Julia Crash Course (eBook Pre-order)Julia Crash Course is a hands-on guide to using the Julia programming language, written with beginners in mind. We take…logankilpatrick.gumroad.comJulia Crash Course (eBook Pre-order)Julia Crash Course is a hands-on guide to using the Julia programming language, written with beginners in mind. We take…logankilpatrick.gumroad.comJulia Crash Course (eBook Pre-order)Julia Crash Course is a hands-on guide to using the Julia programming language, written with beginners in mind. We take…logankilpatrick.gumroad.comJulia Crash Course is a hands-on guide to using the Julia programming language, written with beginners in mind. We take…logankilpatrick.gumroad.com"
Fernando Doglio,The Rise of ChatGPT and the Fall of the Software Developer — Is This the Beginning of the End?,https://medium.com/geekculture/the-rise-of-chatgpt-and-the-fall-of-the-software-developer-is-this-the-beginning-of-the-end-a48485e6da1b?source=topics_v2---------2-84--------------------70f7292f_f599_43be_bcc7_436c151e890d-------17,"The Rise of ChatGPT and the Fall of the Software Developer — Is This the Beginning of the End?I was wrong in my latest article, we’re looking at our future replacementRecently I published an article evaluating whether or not, we as developers, should be scared of ChatGPT stealing our jobs.The Rise of ChatGPT and the Fall of the Software Developer — Is This the Beginning of the End?I was wrong in my latest article, we’re looking at our future replacementRecently I published an article evaluating whether or not, we as developers, should be scared of ChatGPT stealing our jobs.The Rise of ChatGPT and the Fall of the Software Developer — Is This the Beginning of the End?I was wrong in my latest article, we’re looking at our future replacement"
Keith McNulty,Three Critical Learning Priorities for Data Scientists in 2023,https://medium.com/@keith-mcnulty/three-critical-learning-priorities-for-data-scientists-in-2023-f233f7724d35?source=topics_v2---------3-84--------------------70f7292f_f599_43be_bcc7_436c151e890d-------17,"Three Critical Learning Priorities for Data Scientists in 2023With a tightening job market and breakthroughs in AI, how can you continue to be ahead of the game as a Data Scientist?As we approach the holidays, it’s a good time to look at where we stand in Data Science. This year marked the beginnings of some fundamental changes in the…Three Critical Learning Priorities for Data Scientists in 2023With a tightening job market and breakthroughs in AI, how can you continue to be ahead of the game as a Data Scientist?As we approach the holidays, it’s a good time to look at where we stand in Data Science. This year marked the beginnings of some fundamental changes in the…Three Critical Learning Priorities for Data Scientists in 2023With a tightening job market and breakthroughs in AI, how can you continue to be ahead of the game as a Data Scientist?"
Tom Smykowski,⚙️ 5 Awesome Rust Projects People Don’t Know About,https://medium.com/@tomaszs2/️-5-awesome-rust-projects-people-dont-know-about-9363b0a6fae2?source=topics_v2---------7-84--------------------70f7292f_f599_43be_bcc7_436c151e890d-------17,"⚙️ 5 Awesome Rust Projects People Don’t Know AboutRust is becoming an industry standard for modern, performant apps. Check out five project that prove how comprehensive Rust is!Leptos⚙️ 5 Awesome Rust Projects People Don’t Know AboutRust is becoming an industry standard for modern, performant apps. Check out five project that prove how comprehensive Rust is!Leptos⚙️ 5 Awesome Rust Projects People Don’t Know About"
Terence Shin,Top Three Clustering Algorithms You Should Know Instead of K-means Clustering,https://medium.com/towards-data-science/top-five-clustering-algorithms-you-should-know-instead-of-k-means-clustering-b22f25e5bfb4?source=topics_v2---------8-84--------------------70f7292f_f599_43be_bcc7_436c151e890d-------17,"Top Three Clustering Algorithms You Should Know Instead of K-means ClusteringA comprehensive guide to industry leading clustering techniquesPhoto by Mel Poole on UnsplashK-means clustering is arguably one of the most commonly used clustering techniques in the world of data science (anecdotally speaking), and for good reason. It’s simple to understand, easy to implement, and is computationally…Top Three Clustering Algorithms You Should Know Instead of K-means ClusteringA comprehensive guide to industry leading clustering techniquesPhoto by Mel Poole on UnsplashK-means clustering is arguably one of the most commonly used clustering techniques in the world of data science (anecdotally speaking), and for good reason. It’s simple to understand, easy to implement, and is computationally…Top Three Clustering Algorithms You Should Know Instead of K-means ClusteringA comprehensive guide to industry leading clustering techniques"
Quant Galore,Sector-Based Pairs Trading with Python,https://medium.com/the-financial-journal/sector-based-pairs-trading-with-python-bc55ec29f6ff?source=topics_v2---------10-84--------------------863fcd3c_cb40_4438_b9c9_271ea5364689-------17,"Sector-Based Pairs Trading with PythonA new, profitable approach to an under-rated trading strategy.For this strategy, all you need to get started is a Python IDE (preferably Spyder) and access to the QuantGlobal API. You can quickly authenticate yourself with the API here.To understand how this strategy works, we first need to get through some background theoretical knowledge. First, let’s start with what…Sector-Based Pairs Trading with PythonA new, profitable approach to an under-rated trading strategy.For this strategy, all you need to get started is a Python IDE (preferably Spyder) and access to the QuantGlobal API. You can quickly authenticate yourself with the API here.To understand how this strategy works, we first need to get through some background theoretical knowledge. First, let’s start with what…Sector-Based Pairs Trading with Python"
fatfish,8 JavaScript Tricks to Make You a Better Programmer,https://medium.com/javascript-in-plain-english/8-javascript-tricks-to-make-you-a-better-programmer-8d59c75736d2?source=topics_v2---------11-84--------------------863fcd3c_cb40_4438_b9c9_271ea5364689-------17,"8 JavaScript Tricks to Make You a Better ProgrammerMake your JavaScript more readable and extensible with these code tips.prefaceThere are many ways to optimize our JavaScript code, this article summarizes 8 JavaScript Tricks I often use in my work, I hope it can help you too.1. Reduce if…else noodle code8 JavaScript Tricks to Make You a Better ProgrammerMake your JavaScript more readable and extensible with these code tips.prefaceThere are many ways to optimize our JavaScript code, this article summarizes 8 JavaScript Tricks I often use in my work, I hope it can help you too.1. Reduce if…else noodle code8 JavaScript Tricks to Make You a Better ProgrammerMake your JavaScript more readable and extensible with these code tips."
Farhan Tanvir,7 Useful .NET Libraries You Should Use in Your Next Project,https://medium.com/geekculture/7-useful-net-libraries-you-should-use-in-your-next-project-e7e2ae00584f?source=topics_v2---------13-84--------------------863fcd3c_cb40_4438_b9c9_271ea5364689-------17,"7 Useful .NET Libraries You Should Use in Your Next ProjectPower up your .NET developmentPhoto by Sigmund on UnsplashThere is a proverb “You don’t have to reinvent the wheel”. Libraries are the best example of that. It helps you to write complex and time-consuming functionality in an easy way. According to me, a good project uses some of the best libraries available7 Useful .NET Libraries You Should Use in Your Next ProjectPower up your .NET developmentPhoto by Sigmund on UnsplashThere is a proverb “You don’t have to reinvent the wheel”. Libraries are the best example of that. It helps you to write complex and time-consuming functionality in an easy way. According to me, a good project uses some of the best libraries available7 Useful .NET Libraries You Should Use in Your Next ProjectPower up your .NET development"
Rashida Nasrin Sucky,Some Basic Image Preprocessing Operations for Beginners in Python,https://medium.com/towards-data-science/some-basic-image-preprocessing-operations-for-beginners-in-python-7d297316853b?source=topics_v2---------14-84--------------------863fcd3c_cb40_4438_b9c9_271ea5364689-------17,"Photo by Shubham Dhage on UnsplashSome Basic Image Preprocessing Operations for Beginners in PythonOpenCV for beginners: move or translate, resize, and croppingOne of the most used libraries for handling image processing and manipulation is openCV for Python users. For image classification, object detection, or optical character recognition, any work related to images in the AI world need some kind of image…Photo by Shubham Dhage on UnsplashSome Basic Image Preprocessing Operations for Beginners in PythonOpenCV for beginners: move or translate, resize, and croppingOne of the most used libraries for handling image processing and manipulation is openCV for Python users. For image classification, object detection, or optical character recognition, any work related to images in the AI world need some kind of image…Some Basic Image Preprocessing Operations for Beginners in PythonOpenCV for beginners: move or translate, resize, and cropping"
Jesús Lagares,Funny programming memes explained by a Professional Software Developer,https://medium.com/python-in-plain-english/funny-programming-memes-explained-by-a-professional-software-developer-8f048de2b483?source=topics_v2---------15-84--------------------863fcd3c_cb40_4438_b9c9_271ea5364689-------17,Funny programming memes explained by a Professional Software Developer🤣 Get ready to laugh while you learnImage from TheCoderpediaOne of the best things that I can enjoy in my life for being a professional software developer is understanding programming memes. This is a type of joke really witty and they make me laugh a lot.Funny programming memes explained by a Professional Software Developer🤣 Get ready to laugh while you learnImage from TheCoderpediaOne of the best things that I can enjoy in my life for being a professional software developer is understanding programming memes. This is a type of joke really witty and they make me laugh a lot.Funny programming memes explained by a Professional Software Developer🤣 Get ready to laugh while you learn
